題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說,
Q1,1,下列何者為自然語言處理（NLP）中的詞嵌入技術，能將文字轉換為向量以利機器學習處理？,Word2Vec,TF-IDF,Stop Words,Bag-of-Words,1,Word2Vec 是一種詞嵌入方法，目的是將單詞轉換為具有語意意義的實數向量，使語意相近的詞在向量空間中相互接近，有利於後續模型學習。,TF-IDF 與 Bag-of-Words 屬於非分布式或統計型表示，缺乏捕捉詞彙間語意關聯的能力。Stop Words (停用詞) 是指語意貢獻低的詞，通常在預處理時移除。,
Q2,1,在文本資料處理過程中，通常會需要「將接續的文本轉換為詞彙單位」，以便後續的處理。請問上述所指的是文本資料處理中的哪一個方法？,詞形還原（Lemmatization）,停用詞移除（Stopword Removal）,斷詞（Tokenization）,詞頻-逆向文件頻率（TF-IDF）,3,斷詞（Tokenization）是文字處理的起點，負責將一段文字拆解為單字、詞組或子詞等基本單位。,詞形還原 和停用詞移除 發生在斷詞之後，屬於資料正規化與清理的步驟。TF-IDF 是一種詞彙權重計算方法。,
Q3,1,語言模型 BERT 的主要特性為何？,僅擅長單向自迴歸生成（Autoregressive Generation）,僅使用遞迴神經網路（RNN）架構,具備雙向上下文理解能力（Bidirectional Contextual Understanding）,無法處理上下文資訊,3,BERT 採用雙向 Transformer 編碼器架構，擅長透過遮蔽語言建模（MLM）進行雙向上文理解，因此特別擅長理解型任務，如問答、分類。,BERT 屬於預訓練語言模型，是基於 Transformer 架構，而非傳統的 RNN。選項 1 描述的是 GPT 系列的特性。,
Q4,1,在電腦視覺中，影像分類（Image Classification）的主要任務是？,區分影像中不同實體的邊界,為整張圖片指定一個標籤,產生新的影像內容,判斷影像是否含有文字,2,影像分類是電腦視覺的基本任務，旨在將一張影像歸類為一個或多個預定的類別標籤。,選項 1 描述的是影像分割（Segmentation），選項 3 描述的是影像生成（Image Generation）。,
Q5,1,若需在一張影像中辨識出多個目標並標示其位置，最適合使用何種技術？,影像分類（Image Classification）,物件偵測（Object Detection）,語意分割（Semantic Segmentation）,圖像生成（Image Generation）,2,物件偵測（Object Detection）旨在辨識影像中是否存在特定物件，並標示其位置（通常以邊界框標示），例如 YOLO。,影像分類 僅提供單一標籤，語意分割 旨在為每個像素分配類別，但不區分同類別中的不同實體。,
Q6,1,在評估 AI 導入可行性時，下列哪一項屬於「商業價值評估」的考量？,模型參數量大小,開發人員數量,預期效益與回報（如 ROI）,演算法選擇難度,3,商業價值評估主要衡量 AI 專案是否能解決企業痛點並帶來預期效益，常使用 ROI（投資報酬率）、NPV（淨現值） 或回收期（Payback Period） 等財務指標進行量化。,模型的參數量、開發人員數量和演算法難度都屬於技術可行性或成本構成的考量。,
Q7,1,下列何者為機器學習模型在業界部署的主要趨勢之一？,越來越多地採用自動化機器學習（AutoML）技術,轉向使用更簡單的機器學習算法,基於雲的機器學習平台的使用率下降,依賴手動超參數調整進行模型優化,1,AutoML 工具能自動化特徵工程、模型選擇與超參數調校，加速資料科學流程並降低技術門檻，是業界部署的趨勢。,業界趨勢是結合 AutoML 進行快速迭代和模型優化，而非單純回歸簡單算法或手動調整。雲平台的使用率仍在增加。,
Q8,1,關於歐盟《一般資料保護規則（GDPR）》，所謂的被遺忘權（Right to be Forgotten）主要賦予資料主體哪一項權利？,要求平台永久備份其個資以防遺失,在符合條件下請求刪除其個人資料,將個人資料轉換為匿名格式保存,限制企業將資料輸出至境外伺服器,2,被遺忘權（Right to be Forgotten）根據 GDPR 第 17 條，允許資料主體在符合特定條件下請求資料控制者刪除其個人資料。,選項 3 描述的是匿名化 或去識別化 的做法，選項 4 描述的是限制資料傳輸，這些是 GDPR 的其他部分或附屬規定。,
Q9,1,生成對抗網路（GAN）的訓練包含哪兩個核心組件？,分類器與分群器,產生器（Generator）與鑑別器（Discriminator）,強化器與回饋器,解碼器與編碼器,2,GAN 架構設計非常巧妙，由生成器（Generator，偽造者）和判別器（Discriminator，評論家）互相競爭學習，最終生成極度逼真的作品。,分類器與分群器是監督式與非監督式學習中的模型。解碼器與編碼器是 Transformer 或 VAE 等模型的常見架構。,
Q10,1,在設計 AI 應用系統架構時，使用容器技術（如 Docker）的主要優點為？,加快資料標註速度,提升 API 回應速度,促進模型跨平台部署與環境一致性,減少模型所需參數量,3,容器技術能將 AI 模型及其運行所需的所有環境、函式庫和設定檔封裝起來，確保開發、測試和部署環境的**一致性**，解決「我電腦上可以跑」的魔咒。,容器化主要解決環境一致性與可攜性，而非直接加速資料標註或減少模型參數量。,
