題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說
L13Q82,S,以下哪一項屬於自然語言處理中的「語義分析」任務？,詞性標註（POS Tagging）,命名實體辨識（NER）,詞義消歧（WSD）,分詞（Tokenization）,3,WSD 屬於語義分析，用來解決詞彙的多義性問題。,
L13Q83,S,若要建立一個能「理解問題並從知識中回應」的聊天機器人，最適合使用哪種 NLP 架構？,RNN,TF-IDF,BERT with RAG,One-hot Encoding,3,RAG 結合檢索與生成，適合問答與回應任務。,
L13Q84,S,某公司開發中文情感分析工具，輸入商品評論，自動判斷好壞。下列哪一項屬於此任務所需的資料前處理？,將文字向量化,訓練語音辨識模型,建立圖像處理模組,建立 SQL 資料庫,1,向量化是情感分析的基本前處理步驟之一。,
L13Q85,S,使用 Word2Vec 訓練出來的向量，有何特點？,向量無法比較,只能表示英文詞彙,可捕捉語意關係,皆為 one-hot 表示,3,Word2Vec 可讓語意相近的詞向量彼此靠近。,
L13Q86,S,以下哪種模型最常應用於上下文雙向理解任務？,RNN,Word2Vec,BERT,LDA,3,BERT 能理解上下文語意，是問答與摘要常用模型。,
L13Q87,S,某 NLP 任務需將「林志玲」標註為人名，「台北市」標註為地點，此屬於哪種任務？,分詞,命名實體辨識（NER）,共指解析,詞性標註,2,NER 用於辨識人名、地點、組織等實體。,
L13Q88,S,關於 Transformer 架構的說明，下列何者正確？,僅能處理英文,使用 CNN,使用注意力機制,不支援平行運算,3,Transformer 使用 Self-Attention，支援平行運算與理解上下文。,
L13Q89,S,若開發多語系問答系統，哪項模型最具彈性？,TF-IDF,GPT-2,Naive Bayes,BERT 多語版本（mBERT）,4,mBERT 支援超過 100 種語言，是多語 NLP 任務首選。,
L13Q90,S,下列哪個評估指標最常用於機器翻譯？,ROC AUC,BLEU,Accuracy,RMSE,2,BLEU 是衡量翻譯與參考句重合度的標準。,
L13Q91,S,你設計一 NLP 系統輸入一段新聞、輸出重點摘要，這是：,語音辨識,自動摘要（Summarization）,共指解析,命名實體識別,2,摘要屬於語言生成任務。,
L13Q92,S,下列哪項任務屬於篇章層次的理解？,詞性標註,命名實體辨識,共指解析,詞彙嵌入,3,共指解析需理解不同句間的代名詞關聯。,
L13Q93,S,某團隊開發模型可輸入『我今天很開心』輸出『正向』，這任務稱為：,主題建模,語音合成,情感分析,自動摘要,3,情感分析可判斷正向、負向、中立情緒。,
L13Q94,S,輸入『你最喜歡的電影是什麼？』並回應答案，這屬於：,命名實體系統,主題建模系統,問答系統,語音辨識系統,3,問答系統負責理解問題並給出對應答案。,
L13Q95,S,哪一向量化方法可保留上下文語意？,One-hot Encoding,Word2Vec,BERT Embedding,TF-IDF,3,BERT Embedding 根據上下文生成動態詞向量。,
L13Q96,S,為提升翻譯流暢性，最應強化哪項技術？,分詞與詞性標註,命名實體辨識,詞彙統計模型,語言生成模型,4,語言生成是翻譯任務的核心。,
L13Q97,S,Transformer 能並行訓練的主因為何？,使用 RNN,未使用 Embedding,使用 Self-Attention,使用 HMM,3,Self-Attention 可同時處理所有詞間關聯。,
L13Q98,S,使用 LDA 主題模型的主要目的？,預測情緒,分類詞性,發現主題,上下文建模,3,LDA 可挖掘大量文檔的潛在主題結構。,
L13Q99,S,新聞分類任務屬於哪類 NLP 任務？,命名實體辨識,文本分類,語音合成,語法分析,2,新聞分類是典型的文本分類任務。,
L13Q100,S,BERT 預訓練採用哪種策略？,單向語料預測,遮蔽詞彙預測,隨機排序詞,圖像轉換分析,2,BERT 使用 Masked LM 方式訓練模型。,
L13Q101,S,語言模型的『困惑度』代表？,預測垃圾郵件準確率,理解力指標,多樣性程度,預測下詞困難度,4,困惑度越低代表模型預測越準確。,
L13Q102,S,哪一種技術是用來將每個像素分類為特定物件的任務？,圖像分類,影像分割,物件偵測,姿勢估計,2,影像分割是針對每個像素的分類，常用於醫療與自駕領域。,
L13Q103,S,YOLO 模型屬於哪一種物件偵測架構？,二階段,回歸式,區塊式,一階段,4,YOLO 是 One-Stage 檢測器，速度快，適用於即時應用。,
L13Q104,S,下列哪一個不是常見的電腦視覺應用？,自然語言生成,車牌辨識,臉部辨識,瑕疵檢測,1,自然語言生成屬於 NLP，不屬於電腦視覺。,
L13Q105,S,在影像分類任務中，哪一個是深度學習模型的主要結構？,決策樹,卷積神經網路,支援向量機,K-最近鄰,2,CNN 是圖像任務的核心結構。,
L13Q106,S,面對影像資料不足的情況，應使用何種方法增加樣本多樣性？,Dropout,梯度剪裁,資料增強,過採樣,3,資料增強透過旋轉、翻轉等方式擴增資料。,
L13Q107,S,在卷積神經網路中，哪一層主要用來降低圖像尺寸？,全連接層,卷積層,池化層,激活函數,3,池化層 (Pooling Layer) 用來降維並保留重要特徵。,
L13Q108,S,下列哪個資料集常用於物件偵測任務？,ImageNet,COCO,MNIST,SQuAD,2,COCO 是針對物件偵測與影像分割設計的資料集。,
L13Q109,S,在臉部辨識中，「FaceNet」模型主要是用來？,偵測臉部位置,建立臉部向量特徵,做圖像增強,模糊臉部區塊,2,FaceNet 將臉圖轉為向量進行比對，是特徵嵌入模型。,
L13Q110,S,Intersection over Union（IoU）通常應用於哪一個任務評估？,圖像分類,影像生成,物件偵測,姿勢估計,3,IoU 衡量預測框與實際框重疊程度，是物件偵測常用指標。,
L13Q111,S,哪一項為提升模型推論效能而將其部署至裝置端的技術？,GAN,Edge AI,分群分析,R-CNN,2,Edge AI 將模型在終端裝置執行，降低延遲與資源使用。,
L13Q112,S,在醫療影像中，哪一種模型特別適合做精細的像素級分割？,U-Net,YOLO,VGGNet,ResNet,1,U-Net 被廣泛應用於醫學影像分割，結構對稱適合精細處理。,
L13Q113,S,下列何者不是卷積神經網路的標準元件？,卷積層,池化層,遞迴層,激活層,3,遞迴層（如RNN）是處理序列資料的，非 CNN 結構。,
L13Q114,S,電腦視覺系統在農業中可用來執行哪些任務？,病蟲害識別,氣象模擬,植物基因編碼,土壤酸鹼調整,1,電腦視覺可辨識植物病害與成熟度等。,
