題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說,,
L3Q1,1,某公司希望建立一個垃圾郵件分類系統，將郵件判斷為「垃圾信」或「正常信」，這屬於哪一種機器學習任務類型？,監督式學習,非監督式學習,強化式學習,序列決策,1,垃圾郵件分類是一個典型的**二元分類問題**，它需要依賴**已標註的數據**（例如：此郵件是否為垃圾郵件）來訓練模型，因此屬於監督式學習。,非監督式學習用於在無標籤的情況下尋找數據的內在結構，例如聚類（分群）；強化式學習則用於讓代理人透過與環境互動來學習決策策略。,,
L3Q2,1,若模型要預測某地區「下週平均氣溫」，此任務的輸出是一個連續的數值，應屬於哪種監督式學習任務？,分類（Classification）,迴歸（Regression）,聚類（Clustering）,降維（Dimensionality Reduction）,2,迴歸任務專門用於預測連續數值結果，如價格、溫度、銷售額等。,分類任務用於預測離散的類別標籤。聚類與降維屬於非監督式學習任務。,,
L3Q3,1,在訓練機器學習模型的過程中，用來量化模型預測值與實際真實值之間誤差程度的函數稱為什麼？,激活函數（Activation Function）,損失函數（Loss Function）,注意力機制（Attention Mechanism）,批次大小（Batch Size）,2,損失函數（Loss Function）或稱目標函數，用於衡量模型預測與實際答案之間的偏差程度，優化器的目標就是最小化這個函數。,激活函數為神經網路引入非線性；批次大小是每次梯度更新使用的樣本數量；注意力機制用於捕捉序列中元素間的依賴關係。,,
L3Q4,1,在類別分佈不平衡的資料中（例如：95% 的樣本為負類，5% 為正類），若只使用**準確率 (Accuracy)** 作為評估指標，可能導致什麼問題？,模型欠擬合（Underfitting）,模型效能被高估,模型訓練速度過慢,模型自動進行特徵選擇,2,在嚴重不平衡資料中，即使模型總是預測多數類（負類），準確率仍可能很高，這會誤導評估者高估模型效能。F1 分數或 AUC 曲線更適合此類場景。,欠擬合是指模型過於簡單，無法捕捉數據模式；準確率本身不影響訓練速度；準確率與特徵選擇沒有直接關聯。,,
L3Q5,1,歐盟《一般資料保護規則》（GDPR）中的**被遺忘權（Right to be Forgotten）**主要賦予資料主體哪一項權利？,要求平台永久備份其個資,在符合條件下請求刪除其個人資料,將個人資料轉換為匿名格式保存,限制企業將資料輸出至境外伺服器,2,被遺忘權要求在特定條件下，允許用戶要求系統永久刪除其資料。,該權利是要求刪除，而非永久備份；將資料轉換為匿名格式是去識別化（Anonymization）技術。,,
L3Q6,2,在訓練深度學習模型時，沿著損失函數梯度反方向調整參數，以最小化損失值的方法稱為什麼？,梯度下降（Gradient Descent）,隨機森林（Random Forest）,交叉驗證（Cross-Validation）,特徵工程（Feature Engineering）,1,梯度下降是數值優化技術的核心，它指引模型沿著損失函數值下降最快的方向（即梯度的反方向）調整參數。,隨機森林是一種集成學習演算法；交叉驗證是用來評估模型泛化能力的技術；特徵工程是將原始數據轉換為更有意義特徵的過程。,,
L3Q7,2,若一個模型在訓練集上表現極好（訓練誤差低），但在測試集（未見資料）上表現很差（測試誤差高），此現象稱為什麼？,欠擬合（Underfitting）,過度擬合（Overfitting）,概念飄移（Concept Drift）,梯度消失（Vanishing Gradient）,2,過度擬合指模型學習了訓練數據中的雜訊和不重要細節，導致泛化能力下降。,欠擬合指模型過於簡單，無法捕捉數據中的基本模式；概念飄移指標籤定義或資料關係隨時間改變；梯度消失是深度學習訓練不穩定的問題。,,
L3Q8,2,在機器學習中，用於將高維資料映射至較低維度空間，同時保留資料主要變異的方法是什麼？,主成分分析（Principal Component Analysis, PCA）,邏輯迴歸（Logistic Regression）,K-means 聚類,交叉熵損失,1,PCA 是一種常用的降維技術，透過對協方差矩陣進行特徵值分解，找出最大變異方向（主成分），從而降低維度並保留主要資訊。,邏輯迴歸是分類模型；K-means 是聚類模型；交叉熵損失是分類任務的損失函數。,
L3Q9,2,某公司希望預測未來一年的產品銷售額，下列哪一種模型最適合用於此預測目標？,決策樹分類器,K-means 分群,線性迴歸（Linear Regression）,樸素貝式分類,3,銷售額是連續數值，因此需要使用迴歸模型。線性迴歸是最基礎且常用的迴歸演算法。,決策樹分類器和樸素貝式用於分類任務；K-means 用於非監督式分群。,,
L3Q10,2,在神經網路的前向傳播（Forward Propagation）過程中，核心運算步驟主要依賴哪種數學操作？,機率積分,矩陣乘法與向量內積,對數變換,條件機率推論,2,前向傳播涉及輸入數據與權重矩陣的加權求和，這在數學上表現為**矩陣乘法**與**向量內積**。,機率積分與條件機率推論與貝氏定理等相關；對數變換常用於資料正規化或損失函數的計算。,,
