題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
L3Q51,4,在訓練模型之前，若將類別型特徵（例如：國家名稱）轉換為獨熱編碼 (One-hot Encoding)，當類別數量極多（高基數）時，可能導致什麼問題？,模型欠擬合,特徵維度急劇上升,訓練資料洩漏,梯度消失,2,獨熱編碼會為每個唯一的類別創建一個新的二元特徵欄位。當類別數量多時（高基數），這將導致特徵空間的維度急劇膨脹，增加模型的運算負擔。,維度急劇上升與記憶體消耗和計算複雜度增加有關，通常不會直接導致梯度消失（與激活函數相關）或欠擬合（與模型複雜度不足相關）。
L3Q52,4,某迴歸模型在訓練時，若特徵 $X$ 為房屋坪數（單位 0–100），特徵 $Y$ 為房價（單位 0–1000 萬），若未進行特徵縮放，最可能在梯度下降過程中遇到下列哪個問題？,模型只敢預測保守值,收斂速度極慢或震盪,模型無法處理非線性邊界,特徵自動被刪除,2,"特徵尺度差異過大（100 vs 10,000,000）會導致損失函數的等高線非常狹長，梯度下降必須在狹長的谷底進行來回震盪，導致收斂速度極慢。特徵縮放（如標準化或 Min-Max 縮放）是必要的。",特徵縮放的目的是優化訓練過程，與處理非線性邊界（應使用非線性模型）或特徵自動刪除（應使用 L1 正則化）無關。
L3Q53,4,在處理高度偏斜（Skewed）的數值特徵時（例如：網站點擊次數），為了讓數據分佈更接近常態分佈，下列哪一種轉換最為常用？,獨熱編碼（One-hot Encoding）,對數轉換（Log Transformation）,Min-Max 縮放,Label Encoding,2,高度偏斜數據（通常是右偏）經過對數轉換（如 $\ln(x+1)$）後，能有效壓縮極端值，使分佈更接近常態分佈，這有助於依賴常態假設的迴歸模型，並減少極端值影響。,獨熱編碼和 Label Encoding 用於類別特徵；Min-Max 縮放僅改變數值範圍，不改變分佈形狀。
L3Q54,4,在評估迴歸模型時，下列哪一項指標對離群值（Outliers）的魯棒性（Robustness）最高？,均方誤差（Mean Squared Error; MSE）,均方根誤差（Root Mean Squared Error; RMSE）,平均絕對誤差（Mean Absolute Error; MAE）,R 平方（R-squared）,3,MAE 計算的是誤差的絕對值的平均。由於它不像 MSE/RMSE 那樣對誤差進行平方，因此對大型誤差（即離群值）的懲罰較輕，使其對離群值更魯棒。,MSE 和 RMSE 都會因平方操作而對離群值非常敏感。
L3Q55,4,下列哪一項集成學習（Ensemble Learning）技術的原理是透過隨機抽樣（Bootstrap）生成多個不同的訓練集，並使用這些子集獨立訓練多個分類器，最後通過投票決定結果？,提升法（Boosting）,堆疊法（Stacking）,袋裝法（Bagging），如隨機森林（Random Forest）,核函數法（Kernel Method）,3,袋裝法（Bagging）通過從原始數據集中有放回地隨機抽樣（Bootstrap）生成多個子集，並平行訓練多個獨立的同質模型（如決策樹），然後通過投票或平均來整合結果，主要目的是減少模型的變異性。,提升法是模型依序訓練，後續模型修正前一模型的錯誤。
L3Q56,4,在深度學習的訓練過程中，若模型的訓練誤差持續下降，但驗證誤差開始上升，應採取下列哪一種策略？,增加模型複雜度,提早終止訓練（Early Stopping）,使用更高的學習率,增加迭代次數,2,當訓練誤差與驗證誤差開始分歧時，表示模型開始過度擬合訓練數據。提早終止訓練（Early Stopping）是防止過度擬合最直接有效的方法。,增加模型複雜度或迭代次數會加劇過度擬合；更高的學習率可能導致震盪。
L3Q57,4,在時間序列數據處理中，若某特徵（如「月份」或「小時」）具有週期性（Cyclical），最合適的編碼方法是什麼？,Label Encoding,獨熱編碼（One-hot Encoding）,正弦（Sine）/餘弦（Cosine）轉換,目標編碼（Target Encoding）,3,週期性特徵（如 12 月與 1 月相鄰）不能直接使用 Label Encoding。正弦/餘弦轉換將週期性特徵映射到二維空間，保留其相鄰和循環的特性，避免了模型誤解其數值之間的距離。,獨熱編碼雖然處理了無序性，但未能捕捉到週期性的相鄰關係。
L3Q58,4,若某二元分類模型在測試集上的 F1-Score 遠低於 Accuracy，這最可能表明什麼？,模型嚴重欠擬合,模型的訓練集和測試集分配不當,類別分佈嚴重不平衡,模型在迴歸任務上表現不佳,3,當 F1-Score（ Precision 和 Recall 的調和平均）遠低於 Accuracy 時，這是一個強烈的訊號，表示數據集存在嚴重的類別不平衡。因為即使模型總是預測多數類，Accuracy 仍然可以很高，但這會導致少數類（正類）的 Precision 或 Recall 很低，從而拉低 F1-Score。,F1-Score 僅用於分類任務；欠擬合會導致 Accuracy 和 F1-Score 都很低。
L3Q59,4,在模型部署後，若發現模型效能隨時間逐漸下降，原因是現實世界的數據分佈發生了變化，這種現象稱為什麼？,過度擬合（Overfitting）,梯度消失（Vanishing Gradient）,數據漂移（Data Drift）或概念漂移（Concept Drift）,維度災難（Curse of Dimensionality）,3,數據漂移（Data Drift）指模型輸入數據的分佈隨著時間發生變化；概念漂移（Concept Drift）指輸入與輸出之間的關係（標籤定義）發生變化。兩者都會導致模型在部署後效能衰退。,過度擬合是訓練時的問題；梯度消失是訓練不穩定的問題。
L3Q60,4,下列哪一種機器學習演算法通常不需要進行特徵縮放（Feature Scaling），因為它只依賴於特徵值的排序和相對位置？,邏輯迴歸（Logistic Regression）,支持向量機（SVM）,梯度提升樹（Gradient Boosting Machine; GBM）,深度神經網路（DNN）,3,樹模型（如決策樹、隨機森林、GBM、XGBoost）的決策是基於特徵的閾值，僅依賴於特徵值的相對排序，而不依賴於絕對尺度，因此通常不需要特徵縮放。,線性模型（如邏輯迴歸、SVM）和深度學習（DNN）都對特徵尺度敏感，需要進行特徵縮放。
