題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
L3QA117,S,"一個連續隨機變數 X 服從常態分佈 N(100,16)。則 X 落在區間 96 到 104的機率最接近哪一個值？",34%,68%,95%,99.7%,2,此區間為 μ ± 2σ = 100 ± 4，屬於 ±1σ 內，約為 68%。,
L3QA118,S,某疾病盛行率為 1%，檢測靈敏度為 99%，偽陽性率為 5%。若某人檢測陽性，其實際患病機率為？,約 16%,約 50%,約 75%,約 99%,1,使用貝氏定理計算：P(病|陽) = (0.99×0.01)/(0.99×0.01 + 0.05×0.99) ? 0.166 這一題是經典的 貝式定理（Bayes' Theorem） 應用題，出現在醫學檢測、機器學習、甚至是 AI 證照中都非常常見。,
L3QA119,S,若母體為高度偏斜分佈，從中抽樣 n=100 計算樣本平均，其分佈趨近：,原始母體,均勻分佈,常態分佈,貝他分佈,3,中心極限定理成立，樣本平均近似常態分佈。,
L3QA120,S,若 Var(X) = 9，則 Var(2X + 5) 為？,9,18,36,49,3,Var(aX + b) = a? Var(X)，所以 = 4×9 = 36,
L3QA121,S,樣本平均為 80，標準誤為 2，信心水準為 95%，信賴區間為？,76 ~ 84,78 ~ 82,79 ~ 81,77.5 ~ 82.5,1,"CI = 80 ± 1.96×2 ? [76.08, 83.92]",
L3QA122,S,某檢定的 p 值為 0.08，顯著水準為 0.05，應採取何種結論？,拒絕 H?,接受 H?,不拒絕 H?,接受 H?,3,p > α，故不拒絕 H?。,
L3QA123,S,在 Naive Bayes 中，條件獨立假設代表什麼？,特徵間完全獨立,特徵對目標變數獨立,特徵在同一類別下互不影響,每個特徵都有相同權重,3,核心假設為在同一類別 C 下，各特徵條件獨立。,
L3QA124,S,若某連續特徵符合常態分佈，GNB 如何處理？,離散化,分箱,使用高斯機率密度函數,忽略該特徵,3,對連續變數，使用高斯分佈來估條件機率,
L3QA125,S,若模型預測為 0.99，實際標籤為 0，則交叉熵為？,趨近 0,介於 0.5~1,趨近 ∞,無法判斷,3,log(1 ? 0.99) → log(0.01) = 4.6，loss 非常大。,
L3QA126,S,PCA 的第一主成分是？,所有特徵的平均,最大變異方向,最小誤差方向,類別分界線,2,主成分是資料在變異數最大的方向。,
L3QA127,S,哪個方法將資料轉為均值為 0，標準差為 1？,Scaling,Normalization,Standardization,PCA,3,Z-score 標準化屬於 standardization。,
