題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
L3QA245,S,哪一個激活函數最容易導致梯度消失問題？,ReLU,Tanh,Sigmoid,Softmax,3,C. ? Sigmoid：容易在極端值趨近 0,A. ReLU：可避免梯度消失，最常用\nB. Tanh：仍可能出現梯度消失*\nD. Softmax：多分類使用，不屬激活層
L3QA246,S,深度學習中，哪一個步驟主要負責調整權重以降低損失？,前向傳播,激活函數,損失函數計算,反向傳播,4,D. ? 反向傳播：計算梯度並調整權重,A. 前向傳播：只是計算預測結果\nB. 激活函數：引入非線性\nC. 損失函數：僅負責誤差度量
L3QA247,S,下列哪一項是 CNN 中負責降低參數數量的技術？,Dropout,Padding,Pooling,Batch Normalization,3,C. ? Pooling：降低空間尺寸與參數量,A. Dropout：防止過擬合\nB. Padding：補零維持大小\nD. BN：穩定訓練但不減參數
L3QA248,S,哪一個不是 LSTM 的核心組件？,遺忘閘,記憶閘,輸出閘,輸入閘,2,B. ? 記憶閘：LSTM 沒有這個閘門,A. 遺忘閘：控制保留記憶\nC. 輸出閘：控制輸出內容\nD. 輸入閘：控制新資訊
L3QA249,S,下列哪一個是處理長序列依賴問題的關鍵機制？,CNN,RNN,Attention Mechanism,Fully Connected Layer,3,C. ? 注意力機制：可捕捉長距離依賴,A. CNN：擅長局部特徵擷取\nB. RNN：雖可處理序列但長依賴效果差\nD. 全連通層：不處理序列關係
L3QA250,S,在機器學習中，下列哪一個指標最適合用來衡量模型對於**類別不平衡**資料集的表現？,準確率（Accuracy）,均方誤差（MSE）,F1 Score,R-squared,3,C. ? F1 Score：綜合考量精確率與召回率，適合不平衡資料,"A. 準確率：在高不平衡資料下參考價值低\nB. MSE, D. R-squared：適用於迴歸問題"
L3QA251,S,在影像辨識中，Padding 的主要目的為何？,增加模型訓練速度,防止梯度爆炸,確保卷積運算後輸出維度與輸入維度一致,降低模型的複雜度,3,C. ? Padding 補零是為確保邊緣資訊不遺失且維持尺寸，避免圖像邊緣資訊被卷積層丟棄，確保輸出尺寸與輸入一致。,A. 不能加速\nB. 不防梯度爆炸\nD. 不會降低複雜度
L3QA252,S,Batch Normalization (BN) 最主要的用途是？,防止資料洩露,加速模型收斂並穩定訓練,取代激活函數,大幅減少模型參數,2,B. ? BN：使各層輸入分佈穩定，解決 Internal Covariate Shift 問題，加速收斂。,A. 與資料洩露無關\nC. 不能取代激活函數\nD. 不減少參數
L3QA253,S,若模型在訓練集表現優異，但在測試集表現差，最可能的原因是？,欠擬合（Underfitting）,過擬合（Overfitting）,梯度消失,Batch Size 過小,2,B. ? 過擬合：表示模型記憶了訓練集的雜訊，泛化能力差。,A. 欠擬合：訓練/測試集皆差\nC. 梯度消失：會導致訓練不佳\nD. Batch Size 過小：可能導致訓練不穩
L3QA254,S,下列哪一項不是常見的 L2 Regularization (權重衰減) 目的？,限制權重大小,防止過擬合,簡化模型,將部分權重強制設為零,4,D. ? L2 懲罰大權重，但不強制設為零 (這是 L1 的特性)。,"A, B, C. L2 透過懲罰大權重來限制模型複雜度、防止過擬合"
L3QA255,S,下列哪一個優化器（Optimizer）最適合處理稀疏梯度（Sparse Gradients）的資料？,SGD,Adagrad,Adam,RMSProp,2,B. ? Adagrad：可根據參數過去的梯度調整學習率，適合稀疏資料，但缺點是學習率可能遞減過快。,"A. SGD：無自適應能力\nC, D. Adam/RMSProp：雖優於 Adagrad 但在稀疏梯度下，Adagrad 具備專門的優勢。"
L3QA256,S,在訓練神經網路時，設定較高的 Learning Rate (學習率) 最可能導致的後果是？,模型收斂速度變慢,陷入局部最小值,訓練過程發散,訓練時間縮短,3,C. ? 學習率過高易導致參數更新幅度過大，跨越最優點，使訓練過程發散。,A. 學習率高會加速收斂，但有發散風險\nB. 高學習率有助跳出局部最小值\nD. 訓練時間與收斂性有關，不必然縮短
